long,lat,altitude,time,Date,happy,Time,windMPH,windDirection,tempF,Precipitation Inches,DEWPOINT,Visibility Miles,feelslikeF,Relative Humidity,UV,dewpointC
-87.6932009,42.03631595,180.8,2015-06-20T06:24:13-0500,6/20/2015,8,06:24:13-0500,0,East,56.6,0,0,10,56.6,0.94,0,13
-87.82039545,42.21689402,212.17,2015-06-20T08:55:58-0500,6/20/2015,8,08:55:58-0500,4.5,North,59.2,0,4.5,10,59.2,0.88,1,13
-87.83983997,42.25151409,215.83,2015-06-20T09:23:01-0500,6/20/2015,8,09:23:01-0500,0,North,66.4,0,0,10,66.4,0.83,1,16
-87.97415243,42.2802551,129,2015-06-20T10:29:35-0500,6/20/2015,8,10:29:35-0500,0,NNW,65.3,0,0,10,65.3,0.82,4,15
-88.09182261,42.25682836,268,2015-06-20T11:32:20-0500,6/20/2015,8,11:32:20-0500,4,WSW,72.4,0,4,10,72.4,0.76,3,18
-88.14975061,42.27794216,243,2015-06-20T12:44:39-0500,6/20/2015,8,12:44:39-0500,4.3,SSW,74.5,0,10.5,10,74.5,0.73,6,19
-88.30683192,42.42226915,210,2015-06-20T15:26:59-0500,6/20/2015,8,15:26:59-0500,7,SE,75,0,8,10,75,0.76,2,19
-88.61218438,42.39689754,289,2015-06-20T19:36:39-0500,6/20/2015,8,19:36:39-0500,0,SSW,65.2,0.16,1,10,65.2,0.97,1,18
-88.61217789,42.39703694,288.26,2015-06-20T21:49:07-0500,6/20/2015,8,21:49:07-0500,0,NNE,65.2,0.33,0,7,65.2,0.99,0,18
-88.61219319,42.39697292,288.43,2015-06-21T06:45:00-0500,6/21/2015,8,06:45:00-0500,0,NW,65,0,0,5,65,1,1,18
-88.8918342,42.36959752,216,2015-06-21T09:19:54-0500,6/21/2015,8,09:19:54-0500,1,NW,68.5,0,3,5,68.5,0.98,1.2,20
-89.00397233,42.42672077,173,2015-06-21T10:20:38-0500,6/21/2015,8,10:20:38-0500,6,WNW,71,0,8,10,71,0.94,5,21
-89.51979708,42.46601128,335,2015-06-21T16:11:06-0500,6/21/2015,8,16:11:06-0500,5,WNW,84.4,0,5,10,87,0.54,7,19
-88.94060144,42.11422383,253,2015-06-21T22:02:26-0500,6/21/2015,8,22:02:26-0500,0,North,76,0,0,10,76,0.71,0,19
-89.83198777,42.42271632,287,2015-06-22T06:37:32-0500,6/22/2015,10,06:37:32-0500,1,SE,70,0,5,10,70,0.98,0,21
-89.83324883,42.42249055,104,2015-06-22T07:25:59-0500,6/22/2015,10,07:25:59-0500,1,SE,70,0,5,10,70,0.98,0,21
-90.12370968,42.52336521,331,2015-06-22T12:46:28-0500,6/22/2015,10,12:46:28-0500,0,SSE,67.5,0.17,0,10,67.5,0.99,9,20
-90.350384,42.4900766,256,2015-06-22T14:48:36-0500,6/22/2015,10,14:48:36-0500,11,West,75,0.66,17,10,75,0.91,6,22
-90.54134679,42.52420215,320.14,2015-06-22T17:38:52-0500,6/22/2015,10,17:38:52-0500,5,ESE,83,0.97,8,9,92,0.8,3,25
-90.66546803,42.49843784,196.3,2015-06-22T21:57:59-0500,6/22/2015,10,21:57:59-0500,2,ESE,76.7,0.97,2,10,76.7,0.81,0,21
-90.66549594,42.49844815,196.36,2015-06-23T07:21:02-0500,6/23/2015,10,07:21:02-0500,2,ESE,63.3,0,2,10,63.3,0.76,1,13
-90.70900633,42.55310328,54,2015-06-23T08:23:46-0500,6/23/2015,10,08:23:46-0500,2,ESE,67.4,0,4,10,67.4,0.72,2,14
-90.99578166,42.6009033,359,2015-06-23T11:39:09-0500,6/23/2015,10,11:39:09-0500,4,NE,71.9,0,0,10,71.9,0.66,9,16
-91.55930213,43.07715139,353,2015-06-23T18:34:58-050,6/23/2015,10,18:34:58-050,3,West,75.5,0,5,10,75.5,0.52,2,14
-91.55932484,43.07650393,353,2015-06-23T20:26:03-0500,6/23/2015,10,20:26:03-0500,0,WNW,73.4,0,1,10,73.4,0.62,0,15
-91.55916651,43.07649504,352,2015-06-23T21:06:13-0500,6/23/2015,10,21:06:13-0500,0,WNW,73.4,0,1,10,73.4,0.62,0,15
-91.55899693,43.07695306,352.43,2015-06-24T07:16:54-0500,6/24/2015,4,07:16:54-0500,0,North,62.7,0,0,10,62.7,0.9,1,15
-92.50546263,43.51078076,395.75,2015-06-24T17:08:20-0500,6/24/2015,4,17:08:20-0500,3,SE,73,0,0,10,73,0.65,5,16
-92.50525767,43.51075658,395.97,2015-06-24T20:24:20-0500,6/24/2015,4,20:24:20-0500,0,North,70,0,0,10,70,0.78,0,17
-92.50508197,43.51070009,415,2015-06-25T05:57:08-0500,6/25/2015,4,05:57:08-0500,0,Noth,63,0,0,5,63,1,0,17
-92.82835948,43.60145863,409,2015-06-25T09:31:03-0500,6/25/2015,4,09:31:03-0500,2,NNE,70.5,0,2.5,10,70.5,0.77,2,17
-92.99083815,43.74650608,380,2015-06-25T11:15:09-0500,6/25/2015,4,11:15:09-0500,10,ENE,75,0,0,10,75,0.65,7,17
-93.04903104,43.86411375,394.66,2015-06-25T13:26:31-0500,6/25/2015,4,13:26:31-0500,2.5,NE,78.4,0,4.9,10,78.4,0.61,8,18
-93.0945466,43.97226857,454,2015-06-25T14:25:12-0500,6/25/2015,4,14:25:12-0500,10,NNE,79,0,0,10,79,0.54,11,16
-93.22639759,44.06550623,376.5,2015-06-25T16:52:17-0500,6/25/2015,4,16:52:17-0500,2,NNW,78.5,0,6,10,78.5,0.6,5,18
-93.25414516,44.05220775,353,2015-06-25T20:24:39-0500,6/25/2015,4,20:24:39-0500,8,NNE,74.3,0,11,10,74.3,0.72,0,18
-93.254535,44.05201849,319,2015-06-26T04:39:44-0500,6/26/2015,4,04:39:44-0500,6,NNE,63.1,0,8,10,63.1,0.91,0,16
-93.4099613,44.18172324,396,2015-06-26T09:26:49-0500,6/26/2015,4,09:26:49-0500,3.7,East,69,0,0,10,69,0.93,4,19
-93.40977833,44.18168753,360,2015-06-26T09:26:59-0500,6/26/2015,4,09:26:59-0500,3.7,East,69,0,0,10,69,0.93,4,19
-93.4500409,44.23223768,315.95,2015-06-26T10:19:06-0500,6/26/2015,4,10:19:06-0500,6.3,SE,71,0,0,10,71,0.87,7,19
-93.81455049,44.20720733,95,2015-06-26T12:13:35-0500,6/26/2015,4,12:13:35-0500,5,ENE,73.8,0,12,10,73.8,0.73,10,18
-94.00300074,44.16744786,251.98,2015-06-26T15:52:15-0500,6/26/2015,4,15:52:15-0500,1,NE,78,0,7,10,78,0.5,5,14
-94.00303923,44.16743483,252.22,2015-06-26T19:40:23-0500,6/26/2015,4,19:40:23-0500,0,ENE,74.5,0,2,10,74.5,0.55,1,14
-94.00289973,44.16743212,250.68,2015-06-26T20:57:57-0500,6/26/2015,4,20:57:57-0500,9,North,66.3,0,26,10,66.3,0.71,0,14
-94.00274341,44.16748503,253.15,2015-06-27T08:55:46-0500,6/27/2015,0,08:55:46-0500,0,North,68.8,0,1,10,68.8,0.7,3,15
-94.03969335,44.16127236,155,2015-06-27T21:26:45-0500,6/27/2015,0,21:26:45-0500,5,SSE,71.9,0,7,10,71.9,0.69,0,16
-94.03923528,44.16160223,48,2015-06-28T07:59:16-0500,6/28/2015,6,07:59:16-0500,3,East,66.2,0.09,7,10,66.2,0.91,1,18
-94.59336692,44.19609192,315,2015-06-28T11:59:55-0500,6/28/2015,6,11:59:55-0500,1,NW,76.8,0.18,6,10,76.8,0.69,4.7,19
-94.80622619,44.22178262,326,2015-06-28T13:13:09-0500,6/28/2015,6,13:13:09-0500,2,NNE,75.3,0.04,10,10,75.3,0.75,4.5,19
-94.96798958,44.24404439,318.98,2015-06-28T20:02:10-0500,6/28/2015,6,20:02:10-0500,0,East,78.6,0.05,0,10,81,0.67,1,19
-94.96803347,44.24407374,319.13,2015-06-29T06:01:26-0500,6/29/2015,8,06:01:26-0500,2,WSW,62.4,0,2,5,62.4,0.96,0,16
-94.96821899,44.24398455,319.04,2015-06-29T06:01:55-0500,6/29/2015,8,06:01:55-0500,2,WSW,62.4,0,3.2,5,62.4,0.96,0,16
-95.30897174,44.32661651,351,2015-06-29T09:50:11-0500,6/29/2015,8,09:50:11-0500,3.8,West,71.8,0,5.8,10,71.8,0.76,1,18
-95.41031054,44.32662187,340,2015-06-29T10:24:46-0500,6/29/2015,8,10:24:46-0500,0,North,73,0,0,10,73,0.75,5,18
-95.70920661,44.31207839,420,2015-06-29T12:29:24-0500,6/29/2015,8,12:29:24-0500,9,NW,78,0,0,10,78,0.61,11,18
-95.95042712,44.31908273,468,2015-06-29T14:31:53-0500,6/29/2015,8,14:31:53-0500,0.9,WNW,79,0,3,8,81,0.59,11,18
-95.9222155,44.3453877,470,2015-06-29T20:11:58-0500,6/29/2015,8,20:11:58-0500,8,NW,75,0,0,10,75,0.65,1,17
-95.92205037,44.34513745,468,2015-06-29T20:13:11-0500,6/29/2015,8,20:13:11-0500,8,NW,75,0,0,10,75,0.65,1,17
-95.92231046,44.34524474,439,2015-06-30T06:00:48-0500,6/30/2015,2,06:00:48-0500,8,WNW,61,0,0,5,61,0.82,0,13
-96.01854804,44.32698338,507,2015-06-30T08:40:52-0500,6/30/2015,2,08:40:52-0500,0,NNE,64.8,0,1,5,64.8,0.95,3,17
-96.27567809,44.32859594,565,2015-06-30T09:54:18-0500,6/30/2015,2,09:54:18-0500,6.1,NE,65,0,8.1,10,65,0.92,0,17
-96.42720211,44.3131501,581,2015-06-30T10:39:53-0500,6/30/2015,2,10:39:53-0500,0,SSE,65.9,0,4,10,65.9,0.88,7,17
-96.7879144,44.31672778,506.62,2015-06-30T15:52:42-0500,6/30/2015,2,15:52:42-0500,1.1,North,75.4,0,2,10,75.4,0.71,0.7,19
-96.80268922,44.3116774,493.81,2015-07-01T06:30:43-0500,7/1/2015,1,06:30:43-0500,0,North,65.5,0,0,10,65.5,0.89,0,17
-96.80329526,44.31128756,501,2015-07-01T07:07:04-0500,7/1/2015,1,07:07:04-0500,0,North,63,0.05,0,3,63,0.95,0,16
-97.3718996,44.36115892,531,2015-07-01T10:03:17-0500,7/1/2015,1,10:03:17-0500,4,ESE,63.9,0.15,10,8,63.9,0.93,1.5,17
